City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bestöbe,50,KZ,1604879031,76,52.5,73.1,37.26,25.99
Katherine,59,AU,1604879031,58,-14.47,132.27,87.8,9.17
Ushuaia,40,AR,1604878567,78,-54.8,-68.3,44.6,26.4
Punta Arenas,0,CL,1604879031,70,-53.15,-70.92,44.6,18.34
Ribeira Grande,56,PT,1604879031,59,38.52,-28.7,61.18,8.99
Arraial do Cabo,75,BR,1604878947,94,-22.97,-42.03,73.4,8.05
Albany,0,US,1604878851,57,42.6,-73.97,57.0,1.97
Nalhāti,0,IN,1604879032,74,24.3,87.82,65.37,5.44
Forestville,1,US,1604879032,77,38.85,-76.88,68.0,2.98
São João da Barra,50,BR,1604879032,92,-21.64,-41.05,75.24,11.07
Vaini,20,TO,1604878939,74,-21.2,-175.2,80.6,8.05
Port-Gentil,40,GA,1604879032,94,-0.72,8.78,77.0,4.7
Busselton,97,AU,1604878951,83,-33.65,115.33,62.01,14.65
Kruisfontein,100,ZA,1604879033,95,-34.0,24.73,57.0,3.0
Sayyan,0,YE,1604879033,50,15.17,44.32,50.2,4.25
Adré,37,TD,1604879033,29,13.47,22.2,70.9,12.28
Rikitea,92,PF,1604878863,77,-23.12,-134.97,72.95,16.42
Youhao,0,CN,1604879033,83,47.87,128.83,14.0,8.01
Hobart,5,AU,1604878817,48,-42.88,147.33,68.0,6.93
Namie,0,JP,1604879033,53,37.48,141.0,51.01,8.66
Cape Town,20,ZA,1604878742,62,-33.93,18.42,55.99,9.17
Amahai,98,ID,1604879033,68,-3.33,128.92,82.99,0.02
Yellowknife,75,CA,1604878609,79,62.46,-114.35,26.6,10.29
Faanui,43,PF,1604878869,79,-16.48,-151.75,79.0,15.59
Abhā,0,SA,1604879034,51,18.22,42.51,62.6,3.36
Kupang,20,ID,1604878786,79,-10.17,123.58,84.2,4.7
Klaksvík,100,FO,1604878861,93,62.23,-6.59,46.4,16.11
Ilulissat,100,GL,1604878945,56,69.22,-51.1,15.8,19.46
Upernavik,0,GL,1604878661,77,72.79,-56.15,-4.97,10.31
Novoagansk,100,RU,1604878914,99,61.94,76.66,32.14,11.59
Gabrovo,0,BG,1604879034,69,42.87,25.33,46.0,0.65
Kapaa,75,US,1604878816,74,22.08,-159.32,80.6,11.41
Fort Nelson,75,CA,1604878748,78,58.81,-122.7,17.6,4.7
Rodeo,90,US,1604879034,46,38.03,-122.27,55.99,5.82
Karratha,0,AU,1604878873,41,-20.74,116.85,78.53,9.1
Saint George,97,US,1604878956,86,37.1,-113.58,39.99,8.05
Tilichiki,81,RU,1604878729,93,60.47,166.1,10.08,11.97
Atuona,55,PF,1604878871,67,-9.8,-139.03,77.68,12.64
Thunder Bay,5,CA,1604878674,81,48.4,-89.32,51.8,4.7
Ambilobe,100,MG,1604878913,78,-13.2,49.05,74.07,5.73
Yar-Sale,87,RU,1604878873,98,66.83,70.83,19.9,6.85
Ust-Nera,28,RU,1604879035,80,64.57,143.2,-13.41,2.13
Dul'durga,81,RU,1604879035,96,50.68,113.59,27.91,2.28
Mandalgovi,0,MN,1604878946,87,45.76,106.27,25.77,4.74
Cabo San Lucas,5,MX,1604878764,65,22.89,-109.91,86.0,12.75
Bluff,91,NZ,1604878934,75,-46.6,168.33,55.99,7.0
Barrow,90,US,1604878802,85,71.29,-156.79,15.8,20.8
Aracati,0,BR,1604879036,71,-4.56,-37.77,81.97,17.18
Waingapu,89,ID,1604879036,51,-9.66,120.26,86.56,5.3
Bengkulu,99,ID,1604878868,91,-3.8,102.27,76.17,2.44
Constitución,64,CL,1604878862,72,-35.33,-72.42,56.71,11.01
Doka,16,SD,1604879036,28,13.52,35.77,75.25,5.14
Sobolevo,13,RU,1604879036,87,54.43,31.9,38.08,6.22
Barão de Melgaço,0,BR,1604879037,41,-16.19,-55.97,91.4,6.93
Mogocha,0,RU,1604879037,85,53.73,119.77,6.53,1.61
George Town,40,MY,1604878837,88,5.41,100.34,77.0,3.36
Castro,59,BR,1604878645,58,-24.79,-50.01,68.72,6.62
Avarua,85,CK,1604878864,69,-21.21,-159.78,78.8,5.82
Pevek,99,RU,1604878931,94,69.7,170.31,17.24,3.38
Sompeta,0,IN,1604879037,52,18.93,84.6,69.53,5.75
Ossora,3,RU,1604879037,85,59.24,163.07,23.49,8.88
Kilindoni,77,TZ,1604879037,79,-7.91,39.67,79.66,10.33
Rio Grande,59,BR,1604879037,82,-32.03,-52.1,64.45,14.7
Lodwar,29,KE,1604879038,56,3.12,35.6,81.63,10.47
Husavik,0,IS,1604878755,80,66.04,-17.34,30.2,5.82
